Tipo,Porosidad [%],Permeabilidad [md],Permeabilidad [md],Profundidad [ft],Profundidad [ft],Gravedad [API],Gravedad [API],Viscosidad [cp],Viscosidad [cp],Temperatura [F],Temperatura [F]
Acid gas miscible,8,10,100,4900,4900,32,40,0.6,1.5,160,176
CO2 miscible,16.3,7.5,7.5,4600,4600,30,30,3,3,149,149
Hidrocarburo miscible,22,400,400,8800,8800,27,27,0.9,0.9,210,210
Hidrocarburo miscible,19,130,130,8800,8800,26,26,1,1,235,235
Hidrocarburo miscible,20,50,50,6700,6700,24,24,2,2,150,150
Hidrocarburo miscible,20,100,100,6600,6600,24,28,2,2,160,160
Hidrocarburo miscible,25,150,150,4500,4500,15,23,7,140,85,85
Hidrocarburo miscible,25,150,150,4900,4900,15,23,7,140,100,100
Hidrocarburo miscible,23,200,200,8800,8800,27,27,0.9,0.9,182,182
Hidrocarburo miscible,24,50,500,6000,6000,24,24,2,2,160,160
Hidrocarburo miscible,21,20,20,5200,5200,37,37,0.6,0.6,142,142
Hidrocarburo miscible,19,20,20,7000,7000,40,40,0.45,0.45,160,160
Hidrocarburo no miscible,22,40,40,7000,7000,22,22,4,4,170,170
Nitrógeno no miscible,28,1500,1500,3000,3000,20,20,20,20,130,130
CO2 miscible ,12,10,10,6000,6000,35,35,2,2,160,160
CO2 miscible ,29.5,2000,2000,3500,3500,42,42,0.77,0.77,135,135
CO2 miscible ,5,0.1,100,5500,5500,43,43,0.8,0.8,100,100
CO2 miscible ,5,0.1,100,5500,5500,41,41,0.8,0.8,101,101
CO2 miscible ,3,0.1,100,5600,5600,42,42,0.8,0.8,102,102
CO2 miscible ,5,0.1,100,5600,5600,42,42,0.8,0.8,102,102
CO2 miscible ,24,700,700,4500,4500,37,37,1.2,1.2,108,108
CO2 miscible ,12,22,22,4550,4550,38,38,1,1,101,101
CO2 miscible ,11.7,11,11,4500,4500,38,38,1,1,101,101
CO2 miscible ,15,15,15,4200,4200,35,35,0.9,0.9,102,102
Hidrocarburo miscible,26,1000,1000,11000,11000,38,38,1,1,165,165
Hidrocarburo miscible,26,1000,1500,10000,10000,38,38,0.4,0.6,180,180
CO2 inmiscible,20,270,270,5400,5400,19,19,45,45,105,105
CO2 miscible ,13,44,44,9400,9400,38,38,1,1,148,148
CO2 miscible ,14,50,50,9400,9400,38,38,1,1,150,150
CO2 miscible ,16,50,50,6200,6200,40,40,1,1,145,145
CO2 miscible ,16,50,50,6200,6200,40,40,1,1,145,145
CO2 miscible ,16,35,35,6200,6200,40,40,1,1,145,145
"Quimica, polimero y surfactante ",16.8,50,50,2900,2900,39,39,3,3,122,122
CO2 miscible ,16,70,70,6200,6200,30,30,3,3,115,115
CO2 miscible ,15,63,63,7260,7260,38.5,38.5,2,2,152,152
CO2 inmiscible,30,1000,1000,5700,5700,31,31,1.24,1.24,165,165
CO2 inmiscible,17,175,175,1400,1400,30,30,6,6,82,82
CO2 miscible ,12.5,6,6,4900,4900,32,32,1,1,110,110
CO2 miscible ,10,3,3,5000,5000,32,32,2,2,107,107
CO2 miscible ,15.2,63,63,7300,7300,38,38,2,2,152,152
CO2 miscible ,21,50,50,8060,8060,39,39,2,2,177,177
