Intervalo minimo,Intervalo maximo,Acid gas miscible,CO2 inmiscible,CO2 miscible,Hidrocarburo miscible,Hidrocarburo no miscible,Nitrogeno no miscible,Polimeros,"Quimica, polimero y surfactante ",Vapor
7.99,10.89,0,0,0,0,0,0,0,0,0.254237288
10.9,13.8,0,0,0,0,0,0,1,0,0.355932203
13.81,16.71,0,0,0,0.058823529,0,0.333333333,0,0,0.13559322
16.72,19.62,0,0.444444444,0,0,0,0,0,0,0.06779661
19.63,22.53,0,0,0,0.029411765,1,0.333333333,0,0,0.050847458
22.54,25.44,0,0.111111111,0,0.117647059,0,0.333333333,0,0,0.13559322
25.45,28.35,0,0,0.010869565,0.088235294,0,0,0,0,0
28.36,31.26,0,0.333333333,0.130434783,0,0,0,0,0,0
31.27,34.17,1,0,0.239130435,0,0,0,0,0.5,0
34.18,37.08,0,0.111111111,0.184782609,0.058823529,0,0,0,0,0
37.09,39.99,0,0,0.163043478,0.205882353,0,0,0,0.5,0
40,42.9,0,0,0.206521739,0.235294118,0,0,0,0,0
42.91,45.81,0,0,0.065217391,0.176470588,0,0,0,0,0
45.82,48.72,0,0,0,0.029411765,0,0,0,0,0
