Intervalo minimo,Intervalo maximo,Acid gas miscible,CO2 inmiscible,CO2 miscible,Hidrocarburo miscible,Hidrocarburo no miscible,Nitrogeno no miscible,Polimeros,"Quimica, polimero y surfactante ",Vapor
1.49,2925.96,1,1,0.989130435,0.911764706,1,1,0,1,0.576271186
2925.961,5850.425,0,0,0,0.088235294,0,0,1,0,0.220338983
5850.426,8774.89,0,0,0,0,0,0,0,0,0.050847458
8774.891,11699.355,0,0,0,0,0,0,0,0,0.016949153
11699.356,14623.82,0,0,0,0,0,0,0,0,0
14623.821,17548.285,0,0,0,0,0,0,0,0,0.13559322
17548.286,20472.75,0,0,0,0,0,0,0,0,0
20472.751,23397.215,0,0,0,0,0,0,0,0,0
23397.216,26321.68,0,0,0,0,0,0,0,0,0
26321.681,29246.145,0,0,0,0,0,0,0,0,0
29246.146,32170.61,0,0,0,0,0,0,0,0,0
32170.611,35095.075,0,0,0,0,0,0,0,0,0
35095.076,38019.54,0,0,0,0,0,0,0,0,0
38019.541,40944.005,0,0,0.010869565,0,0,0,0,0,0
