Intervalo minimo,Intervalo maximo,Acid gas miscible,CO2 inmiscible,CO2 miscible,Hidrocarburo miscible,Hidrocarburo no miscible,Nitrogeno no miscible,Polimeros,"Quimica, polimero y surfactante ",Vapor
0,2925,1,1,0.989130435,0.970588235,1,1,1,1,0.745762712
2925.001,5849.566,0,0,0,0.029411765,0,0,0,0,0.186440678
5849.567,8774.132,0,0,0,0,0,0,0,0,0.06779661
8774.133,11698.698,0,0,0,0,0,0,0,0,0
11698.699,14623.264,0,0,0,0,0,0,0,0,0
14623.265,17547.83,0,0,0,0,0,0,0,0,0
17547.831,20472.396,0,0,0,0,0,0,0,0,0
20472.397,23396.962,0,0,0,0,0,0,0,0,0
23396.963,26321.528,0,0,0,0,0,0,0,0,0
26321.529,29246.094,0,0,0,0,0,0,0,0,0
29246.095,32170.66,0,0,0,0,0,0,0,0,0
32170.661,35095.226,0,0,0,0,0,0,0,0,0
35095.227,38019.792,0,0,0,0,0,0,0,0,0
38019.793,40944.358,0,0,0.010869565,0,0,0,0,0,0
