Intervalo minimo,Intervalo maximo,Acid gas miscible,CO2 inmiscible,CO2 miscible,Hidrocarburo miscible,Hidrocarburo no miscible,Nitrogeno no miscible,Polimeros,"Quimica, polimero y surfactante ",Vapor
2.95,5.55,0,0,0.054347826,0.029411765,0,0,0,0,0
5.551,8.108,1,0,0.032608696,0.176470588,0,0,0,0,0
8.109,10.666,0,0,0.304347826,0.294117647,0,0,0,0,0
10.667,13.224,0,0,0.22826087,0.058823529,0,0,0,0,0
13.225,15.782,0,0,0.076086957,0,0,0,0,0.5,0
15.783,18.34,0,0.222222222,0.141304348,0.029411765,0,0,0,0.5,0
18.341,20.898,0,0.111111111,0.032608696,0.176470588,0,0,0,0,0
20.899,23.456,0,0,0.097826087,0.088235294,1,0,0,0,0.033898305
23.457,26.014,0,0,0.02173913,0.147058824,0,0,0,0,0.06779661
26.015,28.572,0,0,0,0,0,1,0,0,0.06779661
28.573,31.13,0,0.555555556,0,0,0,0,1,0,0.355932203
31.131,33.688,0,0.111111111,0.010869565,0,0,0,0,0,0.13559322
33.689,36.246,0,0,0,0,0,0,0,0,0.118644068
36.247,38.804,0,0,0,0,0,0,0,0,0.220338983
