intervalo minimo ,intervalo maximo,Acid gas miscible,CO2 inmiscible,CO2 miscible ,Hidrocarburo miscible,Hidrocarburo no miscible,Nitrogeno no miscible,Polimeros,"Quimica, polimero y surfactante ",Vapor 
2.95,5.55,0,0,0.054347826,0.029411765,0,0,0,0,0
5.56,8.16,1,0,0.032608696,0.235294118,0,0,0,0,0
8.17,10.77,0,0,0.304347826,0.323529412,0,0,0,0,0
10.78,13.38,0,0,0.22826087,0.058823529,0,0,0,0,0
13.39,15.99,0,0,0.076086957,0,0,0,0,0.5,0
16,18.6,0,0.222222222,0.141304348,0,0,0,0,0.5,0
18.61,21.21,0,0.111111111,0.065217391,0.147058824,0,0,0,0,0
21.22,23.82,0,0,0.076086957,0.058823529,1,0,0,0,0.033898305
23.83,26.43,0,0,0.010869565,0.147058824,0,0,0,0,0.06779661
26.44,29.04,0,0.111111111,0.010869565,0,0,1,0.5,0,0.084745763
29.05,31.65,0,0.444444444,0,0,0,0,0.5,0,0.338983051
31.66,34.26,0,0.111111111,0,0,0,0,0,0,0.169491525
34.27,36.87,0,0,0,0,0,0,0,0,0.084745763
36.88,39.48,0,0,0,0,0,0,0,0,0.220338983
