Intervalo minimo,Intervalo maximo,Acid gas miscible,CO2 inmiscible,CO2 miscible,Hidrocarburo miscible,Hidrocarburo no miscible,Nitrogeno no miscible,Polimeros,"Quimica, polimero y surfactante ",Vapor
349.99,1360.79,0,0.111111111,0.010869565,0,0,0,0.5,0,0.254237288
1360.8,2071.6,0,0.222222222,0.032608696,0,0,0,0.5,0,0.355932203
2071.61,2782.41,0,0.222222222,0.032608696,0,0,0,0,0,0.237288136
2782.42,3493.22,0,0.111111111,0,0,0,0.333333333,0,0.5,0.084745763
3493.23,4204.03,0,0.111111111,0.043478261,0.058823529,0,0,0,0,0.06779661
4204.04,4914.84,1,0,0.184782609,0.088235294,0,0.666666667,0,0.5,0
4914.85,5625.65,0,0.111111111,0.369565217,0.088235294,0,0,0,0,0
5625.66,6336.46,0,0.111111111,0.108695652,0.147058824,0,0,0,0,0
6336.47,7047.27,0,0,0.076086957,0.147058824,1,0,0,0,0
7047.28,7758.08,0,0,0.032608696,0,0,0,0,0,0
7758.09,8468.89,0,0,0.065217391,0.029411765,0,0,0,0,0
8468.9,9179.7,0,0,0.010869565,0.117647059,0,0,0,0,0
9179.71,9890.51,0,0,0.02173913,0.205882353,0,0,0,0,0
9890.52,10601.32,0,0,0.010869565,0.117647059,0,0,0,0,0
