Intervalo minimo,Intervalo maximo,Acid gas miscible,CO2 inmiscible,CO2 miscible,Hidrocarburo miscible,Hidrocarburo no miscible,Nitrogeno no miscible,Polimeros,"Quimica, polimero y surfactante ",Vapor
349.9,1117.76,0,0,0,0,0,0,0.5,0,0.118644068
1117.77,1885.63,0,0.222222222,0.032608696,0.058823529,0,0,0.5,0,0.457627119
1885.64,2653.5,0,0.333333333,0.032608696,0,0,0,0,0,0.254237288
2653.51,3421.37,0,0.111111111,0.010869565,0,0,0.333333333,0,0.5,0.101694915
3421.38,4189.24,0,0,0.02173913,0.058823529,0,0,0,0,0.06779661
4189.25,4957.11,1,0.111111111,0.260869565,0.088235294,0,0.666666667,0,0.5,0
4957.12,5724.98,0,0.222222222,0.336956522,0.088235294,0,0,0,0,0
5724.99,6492.85,0,0,0.097826087,0.176470588,0,0,0,0,0
6492.86,7260.72,0,0,0.076086957,0.117647059,1,0,0,0,0
7260.73,8028.59,0,0,0.043478261,0,0,0,0,0,0
8028.6,8796.46,0,0,0.043478261,0.029411765,0,0,0,0,0
8796.47,9564.33,0,0,0.032608696,0.294117647,0,0,0,0,0
9564.34,10332.2,0,0,0,0.058823529,0,0,0,0,0
10332.21,11100.07,0,0,0.010869565,0.029411765,0,0,0,0,0
